name,diet,period,lived_in,type,length,species
talarurus,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,6.0,plicatospineus
tarbosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,10.0,bataar
tarchia,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,8.5,gigantea
telmatosaurus,herbivorous,Late Cretaceous,Spain,euornithopod,5.0,transsylvanicus
tenontosaurus,herbivorous,Early Cretaceous,USA,euornithopod,7.0,tillettorum
thecodontosaurus,omnivorous,Late Triassic,United Kingdom,sauropod,2.5,antiquus
thescelosaurus,herbivorous,Late Cretaceous,USA,euornithopod,3.5,neglectus
torosaurus,herbivorous,Late Cretaceous,USA,ceratopsian,7.5,latus
torvosaurus,carnivorous,Late Jurassic,USA,large theropod,10.0,tanneri
triceratops,herbivorous,Late Cretaceous,USA,ceratopsian,9.0,horridus
troodon,carnivorous,Late Cretaceous,USA,small theropod,2.0,formosus
tsintaosaurus,herbivorous,Late Cretaceous,China,euornithopod,12.0,spinorhinus
tuojiangosaurus,herbivorous,Late Jurassic,China,armoured dinosaur,7.0,multispinus
tylocephale,herbivorous,Late Cretaceous,Mongolia,euornithopod,1.4,gilmorei
tyrannosaurus,carnivorous,Late Cretaceous,USA,large theropod,12.0,rex
unenlagia,carnivorous,Late Cretaceous,Argentina,small theropod,2.4,comahuensis
urbacodon,carnivorous,Late Cretaceous,Uzbekistan,small theropod,1.0,itemirensis
utahraptor,carnivorous,Early Cretaceous,USA,large theropod,6.0,ostrommaysorum
valdosaurus,herbivorous,Early Cretaceous,United Kingdom,euornithopod,3.0,canaliculatus
velociraptor,carnivorous,Late Cretaceous,Mongolia,small theropod,1.8,mongoliensis
vulcanodon,herbivorous,Early Jurassic,Zimbabwe,sauropod,6.5,karibaensis
yandusaurus,herbivorous,Mid Jurassic,China,euornithopod,3.0,hongheensis
yangchuanosaurus,carnivorous,Late Jurassic,China,large theropod,10.0,shangyouensis
yimenosaurus,herbivorous,Early Jurassic,China,sauropod,9.0,youngi
yinlong,herbivorous,Mid Jurassic,China,ceratopsian,1.2,downsi
yuanmousaurus,herbivorous,Mid Jurassic,China,sauropod,17.0,jiangyiensis
yunnanosaurus,omnivorous,Early Jurassic,China,sauropod,7.0,huangi
zalmoxes,herbivorous,Late Cretaceous,Romania,euornithopod,3.0,robustus
zephyrosaurus,herbivorous,Early Cretaceous,USA,euornithopod,1.8,schaffi
